num neighbors,fold,error
1,1,0.0939130434782609
1,2,0.09130434782608698
1,3,0.08869565217391306
1,4,0.0938314509122502
2,1,0.0939130434782609
2,2,0.09130434782608698
2,3,0.08869565217391306
2,4,0.0938314509122502
3,1,0.0939130434782609
3,2,0.09130434782608698
3,3,0.08869565217391306
3,4,0.0938314509122502
4,1,0.0939130434782609
4,2,0.09130434782608698
4,3,0.08869565217391306
4,4,0.0938314509122502
5,1,0.0939130434782609
5,2,0.09130434782608698
5,3,0.08869565217391306
5,4,0.0938314509122502
6,1,0.0939130434782609
6,2,0.09130434782608698
6,3,0.08869565217391306
6,4,0.0938314509122502
7,1,0.0939130434782609
7,2,0.09130434782608698
7,3,0.08869565217391306
7,4,0.0938314509122502
8,1,0.0939130434782609
8,2,0.09130434782608698
8,3,0.08869565217391306
8,4,0.0938314509122502
9,1,0.0939130434782609
9,2,0.09130434782608698
9,3,0.08869565217391306
9,4,0.0938314509122502
10,1,0.0939130434782609
10,2,0.09130434782608698
10,3,0.08869565217391306
10,4,0.0938314509122502
11,1,0.0939130434782609
11,2,0.09130434782608698
11,3,0.08869565217391306
11,4,0.0938314509122502
12,1,0.0939130434782609
12,2,0.09130434782608698
12,3,0.08869565217391306
12,4,0.0938314509122502
13,1,0.0939130434782609
13,2,0.09130434782608698
13,3,0.08869565217391306
13,4,0.0938314509122502
14,1,0.0939130434782609
14,2,0.09130434782608698
14,3,0.08869565217391306
14,4,0.0938314509122502
15,1,0.0939130434782609
15,2,0.09130434782608698
15,3,0.08869565217391306
15,4,0.0938314509122502
16,1,0.0939130434782609
16,2,0.09130434782608698
16,3,0.08869565217391306
16,4,0.0938314509122502
17,1,0.0939130434782609
17,2,0.09130434782608698
17,3,0.08869565217391306
17,4,0.0938314509122502
18,1,0.0939130434782609
18,2,0.09130434782608698
18,3,0.08869565217391306
18,4,0.0938314509122502
19,1,0.0939130434782609
19,2,0.09130434782608698
19,3,0.08869565217391306
19,4,0.0938314509122502
20,1,0.0939130434782609
20,2,0.09130434782608698
20,3,0.08869565217391306
20,4,0.0938314509122502
